MD                  	REF                 
749.76              	0.0                 
750.76              	0.0                 
751.76              	0.0                 
752.76              	0.0                 
753.76              	0.0                 
754.38              	0.0                 
755.38              	0.0                 
756.38              	0.0                 
757.38              	0.0                 
758.38              	0.0                 
759.38              	0.0                 
760.38              	0.0                 
761.38              	0.0                 
762.0               	0.0                 
763.0               	0.0                 
764.0               	0.0                 
765.0               	0.0                 
766.0               	0.0                 
767.0               	0.0                 
768.0               	0.0                 
769.0               	0.0                 
769.62              	0.0                 
770.62              	0.0                 
771.62              	0.0                 
772.62              	0.0                 
773.62              	0.0                 
774.62              	0.0                 
775.62              	0.0                 
776.62              	0.0                 
777.24              	0.0                 
778.24              	0.0                 
779.24              	0.0                 
780.24              	0.0                 
781.24              	0.0                 
782.24              	0.0                 
783.24              	0.0                 
784.24              	0.0                 
784.86              	0.0                 
785.86              	0.0                 
786.86              	0.0                 
787.86              	0.0                 
788.86              	0.0                 
789.86              	0.0                 
790.86              	0.0                 
791.86              	0.0                 
792.48              	0.0                 
793.48              	0.0                 
794.48              	0.0                 
795.48              	0.0                 
796.48              	0.0                 
797.48              	0.0                 
798.48              	0.0                 
799.48              	0.0                 
800.1               	0.0                 
801.1               	0.0                 
802.1               	0.0                 
803.1               	0.0                 
804.1               	0.0                 
805.1               	0.0                 
806.1               	0.0                 
807.1               	0.0                 
807.72              	0.0                 
808.72              	0.0                 
809.72              	0.0                 
810.72              	0.0                 
811.72              	0.0                 
812.72              	0.0                 
813.72              	0.0                 
814.72              	0.0                 
815.34              	0.0                 
816.34              	0.0                 
817.34              	0.0                 
818.34              	0.0                 
819.34              	0.0                 
820.34              	0.0                 
821.34              	0.0                 
822.34              	0.0                 
822.96              	0.0                 
823.96              	0.0                 
824.96              	0.0                 
825.96              	0.0                 
826.96              	0.0                 
827.96              	0.0                 
828.96              	0.0                 
829.96              	0.0                 
830.58              	0.0                 
831.58              	0.0                 
832.58              	0.0                 
833.58              	0.0                 
834.58              	0.0                 
835.58              	0.0                 
836.58              	0.0                 
837.58              	0.0                 
838.2               	0.0                 
839.2               	0.0                 
840.2               	0.0                 
841.2               	0.0                 
842.2               	0.0                 
843.2               	0.0                 
844.2               	0.0                 
845.2               	0.0                 
845.82              	0.0                 
846.82              	0.0                 
847.82              	0.0                 
848.82              	0.0                 
849.82              	0.0                 
850.82              	0.0                 
851.82              	0.0                 
852.82              	0.0                 
853.44              	0.0                 
854.44              	0.0                 
855.44              	0.0                 
856.44              	0.0                 
857.44              	0.0                 
858.44              	0.0                 
859.44              	0.0                 
860.44              	0.0                 
861.0600000000001   	0.0                 
862.0600000000001   	0.0                 
863.0600000000001   	0.0                 
864.0600000000001   	0.0                 
865.0600000000001   	0.0                 
866.0600000000001   	0.0                 
867.0600000000001   	0.0                 
868.0600000000001   	0.0                 
868.6800000000001   	0.0                 
869.6800000000001   	0.0                 
870.6800000000001   	0.0                 
871.6800000000001   	0.0                 
872.6800000000001   	0.0                 
873.6800000000001   	0.0                 
874.6800000000001   	0.0                 
875.6800000000001   	0.0                 
876.3000000000001   	0.0                 
877.3000000000001   	0.0                 
878.3000000000001   	0.0                 
879.3000000000001   	0.0                 
880.3000000000001   	0.0                 
881.3000000000001   	0.0                 
882.3000000000001   	0.0                 
883.3000000000001   	0.0                 
883.9200000000001   	0.0                 
884.9200000000001   	0.0                 
885.9200000000001   	0.0                 
886.9200000000001   	0.0                 
887.9200000000001   	0.0                 
888.9200000000001   	0.0                 
889.9200000000001   	0.0                 
